state,Gun Freedom Score
Alabama,7.4
Alaska,8
Arizona,9.33
Arkansas,6.2
California,3.85
Colorado,7.65
Connecticut,4.1
Delaware,6.3
District of Columbia,2
Florida,6.45
Georgia,7.05
Guam,2.6
Hawaii,2.6
Idaho,8.73
Illinois,4.2
Indiana,6.8
Iowa,5.8
Kansas,7.4
Kentucky,7.4
Louisiana,6.9
Maine,7.4
Maryland,5.1
Massachusetts,3.7
Michigan,6.3
Minnesota,6.05
Mississippi,7.4
Missouri,7.4
Montana,8.73
Nebraska,7.4
Nevada,7.4
New Hampshire,7.4
New Jersey,4.1
New Mexico,7.4
New York,4.6
North Carolina,6.9
North Dakota,6.2
Ohio,7.4
Oklahoma,6.2
Oregon,7.4
Pennsylvania,7.4
Puerto Rico,3.1
Rhode Island,4.6
South Carolina,6.3
South Dakota,8.73
Tennessee,8.13
Texas,6.8
Utah,7.53
Vermont,8
Virginia,6.9
Washington,6.65
West Virginia,7.4
Wisconsin,7.4
Wyoming,9.33